time_stamp,acc_x,acc_y,acc_z
0.0,-15040.0,-2880.0,3456.0
0.0025,-15040.0,-2944.0,3328.0
0.005,-15040.0,-2944.0,3328.0
0.0075,-15040.0,-3008.0,3392.0
0.01,-15168.0,-3072.0,3520.0
0.0125,-15168.0,-3136.0,3520.0
0.015,-15104.0,-3136.0,3520.0
0.0175,-15104.0,-3072.0,3456.0
0.02,-15168.0,-3136.0,3456.0
0.0225,-15168.0,-3200.0,3520.0
0.025,-15168.0,-3136.0,3520.0
0.0275,-15232.0,-3072.0,3456.0
0.03,-15168.0,-3136.0,3392.0
0.0325,-15168.0,-3072.0,3328.0
0.035,-15104.0,-3008.0,3392.0
0.0375,-15104.0,-3008.0,3392.0
0.04,-15168.0,-3008.0,3328.0
0.0425,-15232.0,-3008.0,3392.0
0.045,-15232.0,-2944.0,3456.0
0.0475,-15232.0,-2944.0,3456.0
0.05,-15296.0,-3008.0,3456.0
0.0525,-15296.0,-2944.0,3456.0
0.055,-15296.0,-2944.0,3392.0
0.0575,-15360.0,-2944.0,3328.0
0.06,-15424.0,-2944.0,3392.0
0.0625,-15360.0,-2944.0,3392.0
0.065,-15424.0,-3008.0,3392.0
0.0675,-15488.0,-3072.0,3328.0
0.07,-15488.0,-3072.0,3392.0
0.0725,-15488.0,-3008.0,3328.0
0.075,-15488.0,-2944.0,3264.0
0.0775,-15488.0,-2944.0,3264.0
0.08,-15616.0,-3008.0,3456.0
0.0825,-15616.0,-3008.0,3328.0
0.085,-15552.0,-3008.0,3200.0
0.0875,-15616.0,-2944.0,3200.0
0.09,-15744.0,-3008.0,3264.0
0.0925,-15744.0,-3008.0,3264.0
0.095,-15744.0,-3008.0,3264.0
0.0975,-15680.0,-3008.0,3136.0
0.1,-15744.0,-2944.0,3008.0
0.1025,-15808.0,-3008.0,3072.0
0.105,-15872.0,-3008.0,3072.0
0.1075,-15936.0,-3072.0,3136.0
0.11,-16000.0,-3008.0,3136.0
0.1125,-16064.0,-3008.0,3072.0
0.115,-16128.0,-3008.0,3072.0
0.1175,-16128.0,-3072.0,3072.0
0.12,-16192.0,-3072.0,3072.0
0.1225,-16256.0,-3008.0,3008.0
0.125,-16320.0,-3008.0,3072.0
0.1275,-16320.0,-3008.0,3008.0
0.13,-16384.0,-3008.0,3008.0
0.1325,-16448.0,-3008.0,3008.0
0.135,-16512.0,-2944.0,3072.0
0.1375,-16576.0,-3008.0,3008.0
0.14,-16640.0,-3008.0,3008.0
0.1425,-16704.0,-3008.0,3008.0
0.145,-16640.0,-3008.0,3008.0
0.1475,-16768.0,-3072.0,3008.0
0.15,-16832.0,-3072.0,2944.0
0.1525,-16896.0,-3136.0,2944.0
0.155,-16832.0,-3136.0,2944.0
0.1575,-16832.0,-3136.0,3008.0
0.16,-16960.0,-3200.0,3008.0
0.1625,-16960.0,-3200.0,2880.0
0.165,-16896.0,-3136.0,2880.0
0.1675,-16960.0,-3136.0,2816.0
0.17,-16960.0,-3136.0,2944.0
0.1725,-16960.0,-3200.0,3008.0
0.175,-16896.0,-3200.0,3072.0
0.1775,-16832.0,-3136.0,3008.0
0.18,-16832.0,-3136.0,2944.0
0.1825,-16896.0,-3072.0,3008.0
0.185,-16896.0,-3136.0,3072.0
0.1875,-16960.0,-3136.0,3072.0
0.19,-16832.0,-3136.0,3008.0
0.1925,-16832.0,-3072.0,3072.0
0.195,-16704.0,-3136.0,3008.0
0.1975,-16640.0,-3072.0,3008.0
0.2,-16640.0,-3072.0,3072.0
0.2025,-16512.0,-3008.0,3136.0
0.205,-16448.0,-3008.0,3136.0
0.2075,-16384.0,-3008.0,3072.0
0.21,-16320.0,-3072.0,3072.0
0.2125,-16320.0,-3072.0,3072.0
0.215,-16256.0,-3072.0,3008.0
0.2175,-16192.0,-3008.0,3008.0
0.22,-16128.0,-3008.0,3136.0
0.2225,-16128.0,-3072.0,3136.0
0.225,-16064.0,-3008.0,3136.0
0.2275,-16064.0,-3008.0,3072.0
0.23,-15936.0,-2944.0,3136.0
0.2325,-15936.0,-2944.0,3136.0
0.235,-15936.0,-2944.0,3136.0
0.2375,-15936.0,-2944.0,3200.0
0.24,-15872.0,-2944.0,3264.0
0.2425,-15808.0,-2944.0,3136.0
0.245,-15680.0,-2880.0,3072.0
0.2475,-15680.0,-2880.0,3136.0
0.25,-15744.0,-2880.0,3264.0
0.2525,-15680.0,-2880.0,3264.0
0.255,-15680.0,-2880.0,3200.0
0.2575,-15680.0,-2880.0,3264.0
0.26,-15616.0,-2944.0,3264.0
0.2625,-15616.0,-2944.0,3136.0
0.265,-15744.0,-3008.0,3200.0
0.2675,-15872.0,-2944.0,3200.0
0.27,-15808.0,-3008.0,3136.0
0.2725,-15808.0,-3072.0,3200.0
0.275,-15808.0,-3008.0,3136.0
0.2775,-15872.0,-3072.0,3200.0
0.28,-15872.0,-3008.0,3200.0
0.2825,-15872.0,-3008.0,3200.0
0.285,-15872.0,-3008.0,3072.0
