time_stamp,acc_x,acc_y,acc_z
0.0,-15936.0,-3904.0,2304.0
0.0025,-15936.0,-3904.0,2368.0
0.005,-15872.0,-3840.0,2368.0
0.0075,-15872.0,-3904.0,2432.0
0.01,-15936.0,-3968.0,2496.0
0.0125,-15872.0,-3904.0,2432.0
0.015,-15808.0,-3904.0,2496.0
0.0175,-15808.0,-3840.0,2432.0
0.02,-15808.0,-3840.0,2368.0
0.0225,-15872.0,-3840.0,2496.0
0.025,-15872.0,-3840.0,2496.0
0.0275,-15808.0,-3840.0,2560.0
0.03,-15872.0,-3840.0,2496.0
0.0325,-15808.0,-3840.0,2432.0
0.035,-15808.0,-3904.0,2432.0
0.0375,-15872.0,-3840.0,2368.0
0.04,-15808.0,-3904.0,2368.0
0.0425,-15808.0,-3840.0,2368.0
0.045,-15872.0,-3840.0,2432.0
0.0475,-15744.0,-3840.0,2368.0
0.05,-15808.0,-3904.0,2496.0
0.0525,-15872.0,-3840.0,2432.0
0.055,-15872.0,-3904.0,2496.0
0.0575,-15872.0,-3840.0,2496.0
0.06,-15808.0,-3840.0,2432.0
0.0625,-15808.0,-3840.0,2432.0
0.065,-15808.0,-3776.0,2496.0
0.0675,-15808.0,-3840.0,2496.0
0.07,-15872.0,-3840.0,2560.0
0.0725,-15872.0,-3840.0,2560.0
0.075,-15872.0,-3840.0,2560.0
0.0775,-15872.0,-3776.0,2496.0
0.08,-15872.0,-3712.0,2496.0
0.0825,-15872.0,-3776.0,2432.0
0.085,-15936.0,-3776.0,2496.0
0.0875,-15872.0,-3840.0,2432.0
0.09,-15872.0,-3840.0,2432.0
0.0925,-15936.0,-3840.0,2432.0
0.095,-15936.0,-3840.0,2496.0
0.0975,-15936.0,-3840.0,2496.0
0.1,-15936.0,-3840.0,2560.0
0.1025,-15936.0,-3840.0,2496.0
0.105,-16000.0,-3776.0,2496.0
0.1075,-16000.0,-3840.0,2496.0
0.11,-15936.0,-3840.0,2496.0
0.1125,-15936.0,-3840.0,2560.0
0.115,-16000.0,-3840.0,2560.0
0.1175,-15936.0,-3840.0,2560.0
0.12,-16000.0,-3904.0,2496.0
0.1225,-16000.0,-3904.0,2496.0
0.125,-16000.0,-3904.0,2496.0
0.1275,-16000.0,-3904.0,2496.0
0.13,-16064.0,-3840.0,2432.0
0.1325,-16000.0,-3840.0,2496.0
0.135,-16000.0,-3904.0,2496.0
0.1375,-16000.0,-3840.0,2496.0
0.14,-16000.0,-3840.0,2432.0
0.1425,-16064.0,-3840.0,2496.0
0.145,-16000.0,-3840.0,2496.0
0.1475,-16000.0,-3840.0,2496.0
0.15,-16000.0,-3840.0,2496.0
0.1525,-16000.0,-3840.0,2432.0
0.155,-15936.0,-3840.0,2432.0
0.1575,-16000.0,-3776.0,2432.0
0.16,-16000.0,-3904.0,2432.0
0.1625,-16000.0,-3904.0,2368.0
0.165,-16000.0,-3840.0,2432.0
0.1675,-16064.0,-3904.0,2368.0
0.17,-16000.0,-3904.0,2368.0
0.1725,-16000.0,-3840.0,2432.0
0.175,-16064.0,-3904.0,2432.0
0.1775,-16000.0,-3840.0,2432.0
0.18,-16000.0,-3840.0,2496.0
0.1825,-15936.0,-3904.0,2496.0
0.185,-16000.0,-3904.0,2432.0
0.1875,-16000.0,-3968.0,2496.0
0.19,-16000.0,-3968.0,2560.0
0.1925,-15936.0,-3904.0,2496.0
0.195,-15936.0,-3904.0,2560.0
0.1975,-16000.0,-3904.0,2560.0
0.2,-15936.0,-3904.0,2496.0
0.2025,-15936.0,-3904.0,2624.0
0.205,-15872.0,-3904.0,2560.0
